DEPTH	P_L_95	P_H_95	P_L_99	P_H_99	P_L_95_A	P_H_95_A	P_L_99_A	P_H_99_A	P_L_95_B	P_H_95_B	P_L_99_B	P_H_99_B
1	-1	1	-1	1	0	1	0	1	0	1	0	1
2	-1	1	-1	1	0	1	0	1	0	1	0	1
3	-0.666666666666667	0.666666666666667	-1	1	0	1	0	1	0	1	0	1
4	-0.75	0.75	-1	0.75	0	1	0	1	0	1	0	1
5	-0.6	0.6	-0.8	0.8	0	1	0	1	0	1	0	1
6	-0.5	0.666666666666667	-0.666666666666667	0.666666666666667	0.166666666666667	1	0	1	0.166666666666667	1	0	1
7	-0.571428571428571	0.571428571428571	-0.714285714285714	0.714285714285714	0.142857142857143	0.857142857142857	0	1	0.142857142857143	0.857142857142857	0	1
8	-0.5	0.5	-0.625	0.625	0.125	0.875	0	1	0.125	0.875	0.125	1
9	-0.555555555555556	0.555555555555556	-0.666666666666667	0.555555555555556	0.111111111111111	0.888888888888889	0	0.888888888888889	0.111111111111111	0.888888888888889	0	0.888888888888889
10	-0.5	0.5	-0.6	0.6	0.2	0.8	0.1	0.9	0.2	0.8	0.1	0.9
11	-0.545454545454545	0.454545454545455	-0.636363636363636	0.636363636363636	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909	0.181818181818182	0.818181818181818	0.0909090909090909	0.909090909090909
12	-0.416666666666667	0.416666666666667	-0.5	0.583333333333333	0.166666666666667	0.833333333333333	0.0833333333333333	0.833333333333333	0.166666666666667	0.833333333333333	0.0833333333333333	0.833333333333333
13	-0.461538461538462	0.461538461538462	-0.615384615384615	0.615384615384615	0.153846153846154	0.769230769230769	0.0769230769230769	0.923076923076923	0.153846153846154	0.846153846153846	0.0769230769230769	0.923076923076923
14	-0.5	0.428571428571429	-0.642857142857143	0.5	0.214285714285714	0.785714285714286	0.0714285714285714	0.857142857142857	0.214285714285714	0.785714285714286	0.0714285714285714	0.857142857142857
15	-0.4	0.4	-0.533333333333333	0.6	0.2	0.8	0.133333333333333	0.866666666666667	0.2	0.8	0.133333333333333	0.866666666666667
16	-0.375	0.4375	-0.5625	0.5	0.1875	0.75	0.125	0.875	0.1875	0.75	0.125	0.8125
17	-0.411764705882353	0.411764705882353	-0.588235294117647	0.470588235294118	0.235294117647059	0.823529411764706	0.117647058823529	0.882352941176471	0.235294117647059	0.764705882352941	0.176470588235294	0.823529411764706
18	-0.444444444444444	0.333333333333333	-0.555555555555556	0.444444444444445	0.222222222222222	0.777777777777778	0.166666666666667	0.888888888888889	0.222222222222222	0.777777777777778	0.166666666666667	0.888888888888889
19	-0.368421052631579	0.368421052631579	-0.473684210526316	0.473684210526316	0.210526315789474	0.789473684210526	0.157894736842105	0.842105263157895	0.263157894736842	0.789473684210526	0.157894736842105	0.842105263157895
20	-0.4	0.35	-0.45	0.45	0.25	0.75	0.15	0.85	0.25	0.75	0.2	0.8
21	-0.333333333333333	0.380952380952381	-0.476190476190476	0.476190476190476	0.238095238095238	0.761904761904762	0.142857142857143	0.857142857142857	0.238095238095238	0.761904761904762	0.142857142857143	0.80952380952381
22	-0.409090909090909	0.363636363636364	-0.5	0.409090909090909	0.227272727272727	0.727272727272727	0.136363636363636	0.772727272727273	0.227272727272727	0.772727272727273	0.136363636363636	0.818181818181818
23	-0.391304347826087	0.347826086956522	-0.478260869565217	0.478260869565217	0.260869565217391	0.739130434782609	0.173913043478261	0.826086956521739	0.217391304347826	0.739130434782609	0.173913043478261	0.826086956521739
24	-0.333333333333333	0.375	-0.416666666666667	0.5	0.25	0.75	0.208333333333333	0.833333333333333	0.25	0.75	0.208333333333333	0.833333333333333
25	-0.36	0.36	-0.48	0.48	0.24	0.72	0.2	0.8	0.24	0.76	0.16	0.8
26	-0.346153846153846	0.346153846153846	-0.5	0.461538461538462	0.269230769230769	0.769230769230769	0.192307692307692	0.807692307692308	0.269230769230769	0.769230769230769	0.192307692307692	0.846153846153846
27	-0.37037037037037	0.333333333333333	-0.518518518518518	0.407407407407407	0.259259259259259	0.740740740740741	0.185185185185185	0.814814814814815	0.259259259259259	0.740740740740741	0.222222222222222	0.814814814814815
28	-0.357142857142857	0.321428571428571	-0.464285714285714	0.428571428571429	0.25	0.714285714285714	0.178571428571429	0.785714285714286	0.25	0.75	0.214285714285714	0.785714285714286
29	-0.344827586206897	0.344827586206897	-0.448275862068966	0.413793103448276	0.275862068965517	0.724137931034483	0.206896551724138	0.827586206896552	0.241379310344828	0.758620689655172	0.206896551724138	0.793103448275862
30	-0.366666666666667	0.333333333333333	-0.433333333333333	0.433333333333333	0.266666666666667	0.733333333333333	0.2	0.766666666666667	0.266666666666667	0.733333333333333	0.166666666666667	0.8
31	-0.32258064516129	0.32258064516129	-0.419354838709677	0.451612903225806	0.258064516129032	0.741935483870968	0.161290322580645	0.774193548387097	0.258064516129032	0.741935483870968	0.161290322580645	0.774193548387097
32	-0.3125	0.3125	-0.40625	0.4375	0.25	0.71875	0.1875	0.78125	0.25	0.71875	0.21875	0.8125
33	-0.333333333333333	0.303030303030303	-0.424242424242424	0.424242424242424	0.272727272727273	0.727272727272727	0.212121212121212	0.757575757575758	0.272727272727273	0.727272727272727	0.181818181818182	0.787878787878788
34	-0.323529411764706	0.323529411764706	-0.470588235294118	0.411764705882353	0.294117647058824	0.735294117647059	0.205882352941176	0.794117647058823	0.264705882352941	0.735294117647059	0.176470588235294	0.764705882352941
35	-0.314285714285714	0.314285714285714	-0.4	0.428571428571429	0.257142857142857	0.742857142857143	0.228571428571429	0.8	0.285714285714286	0.714285714285714	0.228571428571429	0.771428571428571
36	-0.333333333333333	0.305555555555556	-0.388888888888889	0.361111111111111	0.25	0.722222222222222	0.194444444444444	0.777777777777778	0.25	0.722222222222222	0.194444444444444	0.805555555555556
